Unnamed: 0,Unnamed: 1,NAME,Game_Date,TM,Unnamed: 5,OPP,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS_Percentage,OREB,DREB,TOV,PF,+/-
1.0,,Anthony Edwards A. Edwards,3/10/2026,MIN,@,LAL,31.0,14.0,2.0,4.0,1.0,1.0,2.0,15.0,13.3,1.0,10.0,10.0,9.0,10.0,90.0,0.361,0.0,2.0,2.0,3.0,-15.0
2.0,,Anthony Edwards A. Edwards,3/7/2026,MIN,vs,ORL,32.0,34.0,3.0,2.0,2.0,2.0,8.0,18.0,44.4,5.0,9.0,55.6,13.0,14.0,92.9,0.7040000000000001,1.0,2.0,0.0,3.0,-3.0
3.0,,Anthony Edwards A. Edwards,3/5/2026,MIN,vs,TOR,34.0,22.0,4.0,3.0,1.0,0.0,8.0,12.0,66.7,5.0,8.0,62.5,1.0,2.0,50.0,0.8540000000000001,0.0,4.0,4.0,1.0,15.0
4.0,,Anthony Edwards A. Edwards,3/3/2026,MIN,vs,MEM,37.0,41.0,6.0,2.0,5.0,1.0,15.0,29.0,51.7,7.0,13.0,53.8,4.0,4.0,100.0,0.6659999999999999,0.0,6.0,2.0,2.0,13.0
5.0,,Anthony Edwards A. Edwards,3/1/2026,MIN,@,DEN,39.0,21.0,3.0,6.0,1.0,2.0,9.0,19.0,47.4,3.0,9.0,33.3,0.0,2.0,0.0,0.528,0.0,3.0,2.0,2.0,2.0
6.0,,Anthony Edwards A. Edwards,2/26/2026,MIN,@,LAC,36.0,31.0,3.0,5.0,1.0,0.0,12.0,24.0,50.0,2.0,6.0,33.3,5.0,6.0,83.3,0.5820000000000001,0.0,3.0,3.0,2.0,-2.0
7.0,,Anthony Edwards A. Edwards,2/24/2026,MIN,@,POR,38.0,34.0,4.0,4.0,2.0,0.0,11.0,27.0,40.7,5.0,13.0,38.5,7.0,10.0,70.0,0.541,0.0,4.0,5.0,2.0,7.0
8.0,,Anthony Edwards A. Edwards,2/22/2026,MIN,vs,PHI,34.0,28.0,9.0,3.0,2.0,2.0,11.0,19.0,57.9,3.0,8.0,37.5,3.0,5.0,60.0,0.66,1.0,8.0,7.0,0.0,-3.0
9.0,,Anthony Edwards A. Edwards,2/20/2026,MIN,vs,DAL,38.0,40.0,6.0,1.0,1.0,0.0,16.0,30.0,53.3,5.0,13.0,38.5,3.0,4.0,75.0,0.63,1.0,5.0,3.0,2.0,17.0
10.0,,Anthony Edwards A. Edwards,2/11/2026,MIN,vs,POR,33.0,14.0,4.0,2.0,2.0,1.0,5.0,10.0,50.0,4.0,6.0,66.7,0.0,0.0,,0.7,1.0,3.0,2.0,2.0,19.0
