Player,Team,SSN_PTS,SSN_REB,SSN_AST,L10_PTS,L10_REB,L10_AST,L10_FG%,L10_3P%,L10_MIN,L10_PRA
Jalen Brunson,NYK,26.0,3.6,7.7,24.3,2.7,8.0,0.49,0.316,35.9,35.0
Karl-Anthony Towns,NYK,20.0,13.0,3.4,20.2,11.9,3.8,0.562,0.393,29.0,35.9
OG Anunoby,NYK,16.9,5.8,2.1,15.8,5.0,1.9,0.45,0.423,33.8,22.7
Mikal Bridges,NYK,14.6,3.8,3.4,12.4,1.8,2.6,0.527,0.348,29.2,16.8
Josh Hart,NYK,11.8,8.5,4.9,11.3,5.9,3.4,0.526,0.531,31.7,20.6
Jalen Johnson,ATL,22.5,8.2,4.8,20.3,9.2,6.2,0.46,0.364,34.6,35.7
CJ McCollum,ATL,18.6,3.8,4.2,19.1,2.9,5.1,0.457,0.414,30.1,27.1
Nickeil Alexander-Walker,ATL,20.9,4.1,3.8,24.3,3.4,3.8,0.542,0.464,35.2,31.5
Dyson Daniels,ATL,11.8,6.8,5.9,14.2,8.2,5.5,0.56,0.417,33.0,27.9
Onyeka Okongwu,ATL,12.1,7.8,1.8,12.4,6.2,2.4,0.473,0.349,29.9,21.0
Jonathan Kuminga,ATL,12.1,4.2,2.1,10.7,4.0,1.7,0.424,0.275,21.8,16.4
