SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,Rolling_PTS
22025,1610612741,CHI,Chicago Bulls,0022500084,2025-10-22,CHI vs. DET,W,242,115,39,87,0.448,11,30,0.367,26,32,0.813,12,38,50,29,6,8,17,23,4.0,
22025,1610612741,CHI,Chicago Bulls,0022500100,2025-10-25,CHI @ ORL,W,240,110,39,83,0.47,10,27,0.37,22,29,0.759,9,37,46,26,13,2,18,26,12.0,
22025,1610612741,CHI,Chicago Bulls,0022500115,2025-10-27,CHI vs. ATL,W,241,128,48,92,0.522,16,43,0.372,16,21,0.762,12,39,51,33,5,4,14,20,5.0,
22025,1610612741,CHI,Chicago Bulls,0022500132,2025-10-29,CHI vs. SAC,W,241,126,49,91,0.538,14,32,0.438,14,18,0.778,12,34,46,34,6,2,15,20,13.0,
22025,1610612741,CHI,Chicago Bulls,0022500023,2025-10-31,CHI vs. NYK,W,239,135,45,84,0.536,17,37,0.459,28,35,0.8,6,35,41,31,8,6,7,22,10.0,122.8
22025,1610612741,CHI,Chicago Bulls,0022500153,2025-11-02,CHI @ NYK,L,239,116,45,93,0.484,17,40,0.425,9,11,0.818,12,34,46,28,7,3,14,20,-12.0,123.0
22025,1610612741,CHI,Chicago Bulls,0022500167,2025-11-04,CHI vs. PHI,W,240,113,42,89,0.472,13,34,0.382,16,20,0.8,12,36,48,26,11,9,18,19,2.0,123.6
22025,1610612741,CHI,Chicago Bulls,0022500035,2025-11-07,CHI @ MIL,L,240,110,44,90,0.489,10,33,0.303,12,16,0.75,8,37,45,34,9,3,14,19,-16.0,120.0
22025,1610612741,CHI,Chicago Bulls,0022500186,2025-11-08,CHI @ CLE,L,241,122,38,84,0.452,13,29,0.448,33,36,0.917,10,39,49,27,8,4,13,25,-6.0,119.2
22025,1610612741,CHI,Chicago Bulls,0022500202,2025-11-10,CHI vs. SAS,L,239,117,41,93,0.441,16,38,0.421,19,23,0.826,11,34,45,29,10,4,12,20,-4.0,115.6
