Player,L10_PTS,L10_REB,L10_AST,L10_FGA,L10_FG%,L10_MIN,L10_PRA
Jalen Brunson,24.3,2.7,8.0,19.2,0.49,35.9,35.0
Karl-Anthony Towns,20.2,11.9,3.8,12.8,0.562,29.0,35.9
OG Anunoby,15.8,5.0,1.9,11.1,0.45,33.8,22.7
Mikal Bridges,12.4,1.8,2.6,9.3,0.527,29.2,16.8
Josh Hart,11.3,5.9,3.4,7.8,0.526,31.7,20.6
Tyrese Maxey,24.4,4.1,5.9,18.7,0.481,36.6,34.4
Paul George,21.0,5.7,3.3,15.9,0.472,30.9,30.0
Kelly Oubre Jr.,13.3,6.5,1.0,11.0,0.473,28.3,20.8
Victor Wembanyama,29.5,13.5,4.0,19.6,0.541,28.6,47.0
De'Aaron Fox,16.0,3.5,5.7,13.6,0.478,29.0,25.2
Stephon Castle,16.4,6.6,9.4,11.2,0.491,30.0,32.4
Devin Vassell,12.8,5.3,2.5,10.6,0.434,29.8,20.6
Keldon Johnson,14.8,4.9,1.6,12.1,0.446,24.1,21.3
Anthony Edwards,25.5,3.7,3.6,17.2,0.465,31.9,32.8
Jaden McDaniels,15.5,3.6,2.3,12.6,0.516,30.4,21.4
Rudy Gobert,11.8,12.2,1.1,8.6,0.581,30.0,25.1
Donte DiVincenzo,12.0,2.2,2.2,10.8,0.37,27.4,16.4
Ayo Dosunmu,18.3,6.6,4.8,13.8,0.507,32.6,29.7
