"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","27","53","35.5","37.5","15.5","540","0.774","615","0.576","553","0.36","0.559","0.613","32.5","7.9","8.4","1.5","0.5","4","40.4","40.9","48.8","14.6","119.9","110"
"","Shai Gilgeous-Alexander","Okc","*","G","27.7","54","33.5","33.4","9.7","497","0.895","822","0.601","243","0.383","0.595","0.667","31.7","4.5","6.6","1.4","0.8","2.1","36.2","38.3","42.8","11.7","134.1","106.1"
"","Anthony Edwards","Min","*","G","24.6","55","35.5","31.5","11.8","393","0.794","658","0.553","475","0.402","0.574","0.618","29.3","5.1","3.7","1.4","0.8","2.7","34.4","33","38.1","9.2","118.4","112.1"
"","Tyrese Maxey","Phi","*","G","25.3","61","38.3","29.9","10","373","0.893","794","0.521","542","0.373","0.537","0.589","29","4.1","6.7","2","0.8","2.4","33.1","35.6","39.7","9.7","121","114.1"
"","Nikola Jokic","Den","*","C","31.1","49","34.7","31.4","17.5","388","0.832","633","0.643","236","0.394","0.629","0.681","28.9","12.5","10.3","1.3","0.8","3.8","41.4","39.2","51.8","17.9","135.6","107.7"
"","Donovan Mitchell","Cle","*","G","29.5","57","33.4","32.7","12.8","357","0.854","632","0.578","528","0.367","0.566","0.614","28.4","4.5","5.8","1.6","0.3","3","32.9","34.2","38.7","10.8","120.4","110.9"
"","Jaylen Brown","Bos","*","G-F","29.4","58","34","36.2","14","404","0.78","929","0.527","333","0.348","0.526","0.571","28.3","7.1","5.1","1","0.4","3.6","35.5","33.5","40.6","11.9","113.7","106.9"
"","Kawhi Leonard","Lac","*","F","34.7","50","32.5","33.5","9.6","330","0.906","633","0.566","341","0.372","0.563","0.624","27.9","6.4","3.7","2","0.5","2.1","34.3","31.7","38.1","10.7","124","112.9"
"","Giannis Antetokounmpo","Mil","*","F","31.3","34","29","36.3","16.7","333","0.649","509","0.658","43","0.349","0.648","0.666","27.4","9.8","5.4","1","0.7","3.3","37.1","32.8","42.6","15.6","126.4","109.4"
"","Stephen Curry","Gol","*","G","38","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.7","113.5"
"","Lauri Markkanen","Uta","*","F-C","28.8","42","34.3","28.2","7.3","268","0.896","481","0.559","324","0.355","0.548","0.608","26.7","6.9","2.1","1","0.5","1.5","33.6","28.9","35.7","8.5","122.8","120.1"
"","Joel Embiid","Phi","*","C-F","32","33","31.2","33.8","14","282","0.858","467","0.546","133","0.316","0.53","0.606","26.6","7.5","3.9","0.6","1.1","3","34.2","30.5","38.1","11.8","119.4","112"
"","Jalen Brunson","Nyk","*","G","29.5","61","34.9","30.3","10.4","346","0.838","768","0.517","454","0.377","0.535","0.581","26.2","3.4","6.5","0.7","0.1","2.3","29.6","32.7","36.1","9.6","121.4","112"
"","Kevin Durant","Hou","*","F","37.4","61","36.6","27.3","15.2","371","0.887","739","0.564","351","0.407","0.579","0.635","26.1","5.5","4.5","0.9","0.9","3.2","31.6","30.6","36.1","9.4","123.6","111.9"
"","Jamal Murray","Den","*","G","29","60","35","28.6","11.3","310","0.877","656","0.52","445","0.427","0.569","0.616","25.4","4.4","7.2","0.9","0.4","2.3","29.8","32.6","37","10.6","124.4","116.5"
"","James Harden","Lac","","G","36.5","44","35.4","31.2","17.4","374","0.901","382","0.492","389","0.347","0.506","0.598","25.4","4.8","8.1","1.3","0.4","3.7","30.2","33.5","38.4","11.3","119.2","114.3"
"","Cade Cunningham","Det","*","G","24.5","57","35","30.8","16.2","366","0.809","769","0.507","340","0.35","0.513","0.564","25.1","5.6","9.9","1.4","0.9","3.8","30.8","35.1","40.7","12.8","117.4","105"
"","Devin Booker","Pho","*","G","29.4","49","33.4","31.5","15.2","381","0.869","607","0.511","281","0.32","0.501","0.578","24.9","4","6.1","0.9","0.3","3.2","28.9","31","35","10.1","117.4","112"
"","Deni Avdija","Por","*","F","25.2","50","33.3","29.1","18.8","452","0.803","502","0.536","308","0.338","0.525","0.601","24.3","7","6.7","0.8","0.6","3.8","31.2","30.9","37.9","12.5","119.1","111.1"
"","Victor Wembanyama","San","*","F-C","22.2","51","29.3","31.6","13.7","368","0.815","554","0.578","272","0.36","0.565","0.625","24.2","11.1","2.9","1","3","2.6","35.3","27.1","38.2","12.6","120.3","100"
"","Michael Porter Jr.","Bro","*","F","27.7","52","32.5","30.4","11.3","228","0.86","473","0.567","485","0.363","0.555","0.595","24.2","7.1","3","1.1","0.3","2.3","31.3","27.3","34.3","9.9","114.2","114.3"
"","Pascal Siakam","Ind","*","F","31.9","55","33.5","29.6","10.5","343","0.682","755","0.527","265","0.362","0.531","0.563","24","6.7","3.9","1.1","0.4","2.2","30.6","27.8","34.5","10.2","111.3","113.9"
