PLAYER,TEAM,OPP,OPP_DRTG,SPREAD,PROP,SSN,L10,PROJ,L10_FG%,GTD,MIN
Cade Cunningham,DET,ORL,108.7,-8.5,PTS,23.9,17.1,21.4,0.493,,33.9
Cade Cunningham,DET,ORL,108.7,-8.5,REB,5.5,4.1,5.0,0.493,,33.9
Cade Cunningham,DET,ORL,108.7,-8.5,AST,9.9,10.1,10.8,0.493,,33.9
Jalen Duren,DET,ORL,108.7,-8.5,PTS,19.5,21.4,22.3,0.704,,28.2
Jalen Duren,DET,ORL,108.7,-8.5,REB,10.5,10.5,11.3,0.704,,28.2
Jalen Duren,DET,ORL,108.7,-8.5,AST,2.0,3.9,3.4,0.704,,28.2
Tobias Harris,DET,ORL,108.7,-8.5,PTS,13.3,14.1,14.9,0.525,,27.7
Tobias Harris,DET,ORL,108.7,-8.5,REB,5.1,4.7,5.2,0.525,,27.7
Tobias Harris,DET,ORL,108.7,-8.5,AST,2.5,3.2,3.2,0.525,,27.7
Duncan Robinson,DET,ORL,108.7,-8.5,PTS,12.2,14.3,14.5,0.538,,27.4
Duncan Robinson,DET,ORL,108.7,-8.5,REB,2.7,2.3,2.7,0.538,,27.4
Duncan Robinson,DET,ORL,108.7,-8.5,AST,2.1,2.3,2.4,0.538,,27.4
Ausar Thompson,DET,ORL,108.7,-8.5,PTS,9.9,8.8,10.0,0.623,,26.0
Ausar Thompson,DET,ORL,108.7,-8.5,REB,5.7,5.5,6.0,0.623,,26.0
Ausar Thompson,DET,ORL,108.7,-8.5,AST,3.1,4.1,4.0,0.623,,26.0
Isaiah Stewart,DET,ORL,108.7,-8.5,PTS,10.0,10.2,10.9,0.603,,22.7
Isaiah Stewart,DET,ORL,108.7,-8.5,REB,5.0,4.3,4.9,0.603,,22.7
Isaiah Stewart,DET,ORL,108.7,-8.5,AST,1.1,1.1,1.2,0.603,,22.7
Kevin Huerter,DET,ORL,108.7,-8.5,PTS,8.6,12.0,11.5,0.47,,20.5
Kevin Huerter,DET,ORL,108.7,-8.5,REB,2.8,3.2,3.3,0.47,,20.5
Kevin Huerter,DET,ORL,108.7,-8.5,AST,2.5,3.3,3.2,0.47,,20.5
Daniss Jenkins,DET,ORL,108.7,-8.5,PTS,9.3,14.5,13.4,0.402,,20.2
Daniss Jenkins,DET,ORL,108.7,-8.5,REB,2.3,4.1,3.7,0.402,,20.2
Daniss Jenkins,DET,ORL,108.7,-8.5,AST,3.9,6.6,6.0,0.402,,20.2
Ron Holland,DET,ORL,108.7,-8.5,PTS,8.2,7.8,8.6,0.403,,19.9
Ron Holland,DET,ORL,108.7,-8.5,REB,4.0,3.2,3.8,0.403,,19.9
Ron Holland,DET,ORL,108.7,-8.5,AST,1.2,1.0,1.2,0.403,,19.9
Caris LeVert,DET,ORL,108.7,-8.5,PTS,7.4,7.5,8.1,0.439,,19.2
Caris LeVert,DET,ORL,108.7,-8.5,REB,2.0,2.4,2.4,0.439,,19.2
Caris LeVert,DET,ORL,108.7,-8.5,AST,2.7,2.4,2.7,0.439,,19.2
Javonte Green,DET,ORL,108.7,-8.5,PTS,6.9,8.0,8.2,0.5,,17.6
Javonte Green,DET,ORL,108.7,-8.5,REB,2.8,3.4,3.4,0.5,,17.6
Javonte Green,DET,ORL,108.7,-8.5,AST,0.7,0.7,0.8,0.5,,17.6
