Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,TEAM
1.0,Toumani Camara,25.0,PF,82.0,82.0,33.3,4.8,10.9,0.44,2.7,7.2,0.37,2.1,3.6,0.579,0.563,1.2,1.7,0.708,1.6,3.6,5.1,2.5,1.1,0.4,1.8,2.9,13.4,,POR
2.0,Deni Avdija,25.0,SF,66.0,66.0,33.3,7.5,16.1,0.462,1.9,6.0,0.318,5.6,10.2,0.547,0.521,7.4,9.2,0.802,1.1,5.8,6.9,6.7,0.8,0.6,3.8,2.5,24.2,AS,POR
3.0,Jerami Grant,31.0,PF,57.0,38.0,29.7,5.8,12.8,0.453,2.4,6.1,0.389,3.4,6.7,0.513,0.547,4.6,5.6,0.814,1.0,2.5,3.5,2.1,0.7,0.6,2.1,2.5,18.6,,POR
4.0,Shaedon Sharpe,22.0,SG,50.0,42.0,29.4,7.8,17.4,0.452,2.1,6.1,0.337,5.8,11.2,0.514,0.511,3.1,3.9,0.787,1.0,3.3,4.3,2.6,1.4,0.1,2.9,2.0,20.8,,POR
5.0,Jrue Holiday,35.0,PG,53.0,51.0,29.4,6.0,13.4,0.451,2.6,6.8,0.378,3.5,6.5,0.527,0.548,1.7,2.0,0.838,1.3,3.3,4.6,6.1,1.0,0.1,2.8,1.5,16.3,,POR
6.0,Donovan Clingan,21.0,C,77.0,77.0,27.2,4.6,8.9,0.52,1.1,3.2,0.341,3.5,5.7,0.621,0.582,1.8,2.6,0.68,4.5,7.1,11.6,2.1,0.6,1.7,1.2,2.4,12.1,,POR
7.0,Scoot Henderson,21.0,PG,30.0,10.0,24.9,4.8,11.4,0.418,1.9,5.4,0.352,2.9,6.0,0.478,0.501,2.8,3.3,0.84,0.6,2.1,2.7,3.7,0.9,0.3,2.4,2.8,14.2,,POR
8.0,Kris Murray,25.0,SF,57.0,15.0,23.4,2.3,4.8,0.467,0.6,2.1,0.279,1.7,2.7,0.617,0.529,0.7,1.0,0.684,1.6,2.0,3.6,1.4,0.9,0.4,0.8,1.6,5.8,,POR
9.0,Caleb Love,24.0,SG,49.0,1.0,20.7,3.9,10.0,0.388,1.9,6.0,0.318,2.0,4.0,0.49,0.483,0.7,1.0,0.735,0.5,1.8,2.3,2.5,0.6,0.1,1.3,1.0,10.4,,POR
10.0,Vít Krejčí,25.0,PG,19.0,0.0,19.2,2.6,6.4,0.405,1.4,4.7,0.303,1.2,1.7,0.688,0.517,0.6,0.8,0.733,0.6,2.1,2.7,1.7,0.5,0.3,0.6,1.6,7.2,,POR
11.0,Sidy Cissoko,21.0,SF,75.0,26.0,19.1,1.8,4.5,0.398,0.8,2.6,0.298,1.0,1.8,0.544,0.487,0.8,1.2,0.659,0.8,1.4,2.2,1.5,0.7,0.3,0.9,2.4,5.1,,POR
12.0,Robert Williams,28.0,C,59.0,1.0,17.1,3.0,4.2,0.708,0.2,0.4,0.391,2.8,3.8,0.74,0.726,0.6,1.0,0.596,2.4,4.6,7.0,1.0,0.6,1.5,0.8,1.3,6.7,,POR
13.0,Matisse Thybulle,28.0,SG,30.0,0.0,16.0,1.9,4.5,0.433,1.2,3.1,0.398,0.7,1.4,0.512,0.571,0.7,0.8,0.84,0.6,1.4,2.0,0.9,2.0,0.5,0.9,1.4,5.8,,POR
15.0,Blake Wesley,22.0,SG,31.0,0.0,11.6,1.8,4.0,0.452,0.3,1.2,0.278,1.5,2.8,0.523,0.492,0.8,1.5,0.553,0.3,1.0,1.3,2.0,0.5,0.2,1.0,1.1,4.8,,POR
1.0,Paolo Banchero,23.0,PF,72.0,72.0,34.8,7.3,16.0,0.459,1.2,3.8,0.305,6.2,12.2,0.507,0.496,6.3,8.2,0.775,1.2,7.2,8.4,5.2,0.7,0.6,3.1,2.0,22.2,,ORL
2.0,Desmond Bane,27.0,SG,82.0,82.0,33.6,7.1,14.7,0.484,2.0,5.2,0.391,5.1,9.5,0.535,0.553,3.8,4.2,0.908,1.2,2.9,4.1,4.1,1.0,0.5,2.0,3.1,20.1,,ORL
3.0,Franz Wagner,24.0,SF,34.0,32.0,30.0,7.2,14.9,0.481,1.4,4.1,0.345,5.8,10.8,0.533,0.529,4.8,5.8,0.823,1.3,3.9,5.2,3.3,0.9,0.3,1.7,2.1,20.6,,ORL
4.0,Anthony Black,22.0,PG,64.0,40.0,29.8,5.4,12.1,0.447,1.6,4.7,0.333,3.8,7.4,0.519,0.512,2.6,3.6,0.732,0.7,3.1,3.8,3.7,1.4,0.7,2.1,2.7,15.0,,ORL
